Disease,Description,Symptoms,Diet,Medication,workout,Precautions
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Consume magnesium-rich foods,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Consult a healthcare professional,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Avoid trigger foods,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Follow the DASH diet (Dietary Approaches to Stop Hypertension),[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Limit sodium intake,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Include potassium-rich foods,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Stay hydrated,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Consume calcium-rich foods,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Limit alcohol consumption,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Include magnesium-rich foods,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Consume omega-3 fatty acids,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Limit processed foods,[]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.","[('loss_of_balance', 4), ('headache', 3), ('lack_of_concentration', 3), ('chest_pain', 7), ('dizziness', 4)]","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']",Consult a healthcare professional,[]
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Identify and avoid trigger foods,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Stay hydrated,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Include magnesium-rich foods,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Consume omega-3 fatty acids,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Limit caffeine and alcohol,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Consume riboflavin-rich foods,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Limit processed foods,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Maintain regular meal times,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Consult a healthcare professional,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"[('blurred_and_distorted_vision', 5), ('acidity', 3), ('headache', 3), ('indigestion', 5), ('excessive_hunger', 4)]","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Manage stress,"['use poloroid glasses in sun', 'meditation', 'consult doctor', 'reduce stress']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Include anti-inflammatory foods,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Consume omega-3 fatty acids,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Include vitamin D-rich foods,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Stay hydrated,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Consume antioxidant-rich foods,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Limit processed foods,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Include lean proteins,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Practice good posture,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Consult a healthcare professional,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"[('loss_of_balance', 4), ('back_pain', 3), ('weakness_in_limbs', 7), ('neck_pain', 5), ('dizziness', 4)]","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Engage in regular exercise,"['exercise', 'take otc pain reliver', 'use heating pad or cold pack', 'consult doctor']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Follow a balanced and nutritious diet,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Include lean proteins,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Consume nutrient-rich foods,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Stay hydrated,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Include healthy fats,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Limit sugary foods and beverages,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Include antioxidants,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Consume foods rich in vitamin K,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Consult a healthcare professional,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"[('headache', 3), ('vomiting', 5), ('altered_sensorium', 2), ('weakness_of_one_body_side', 4)]","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Manage stress,"['exercise', 'consult doctor', 'massage', 'eat healthy']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Stay hydrated,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Consume nutrient-rich foods,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Include protein-rich foods,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Consume easily digestible foods,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Limit fatty foods,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Avoid alcohol and caffeine,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Include vitamin C-rich foods,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Consult a healthcare professional,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Rest and conserve energy,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","[('weight_loss', 3), ('high_fever', 7), ('fatigue', 4), ('itching', 1), ('vomiting', 5)]","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",Gradually resume normal diet,"['drink plenty of water', 'medication', 'consume milk thistle', 'eat fruits and high fiberous food']"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"[('high_fever', 7), ('headache', 3), ('vomiting', 5), ('chills', 3), ('sweating', 3)]","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Stay hydrated,"['avoid oily food', 'keep mosquitos out', 'Consult nearest hospital', 'avoid non veg food']"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"[('high_fever', 7), ('headache', 3), ('vomiting', 5), ('chills', 3), ('sweating', 3)]","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Consume nutrient-rich foods,"['avoid oily food', 'keep mosquitos out', 'Consult nearest hospital', 'avoid non veg food']"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"[('high_fever', 7), ('headache', 3), ('vomiting', 5), ('chills', 3), ('sweating', 3)]","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Include protein-rich foods,"['avoid oily food', 'keep mosquitos out', 'Consult nearest hospital', 'avoid non veg food']"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"[('high_fever', 7), ('headache', 3), ('vomiting', 5), ('chills', 3), ('sweating', 3)]","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Consume foods rich in antioxidants,"['avoid oily food', 'keep mosquitos out', 'Consult nearest hospital', 'avoid non veg food']"
